trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
187,False,"{'a': 0.7503999999999957, 'e': 0.75653990321504738}",25,0,-139.9056953941101,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
188,False,"{'a': 0.7495999999999957, 'e': 0.75540594404222172}",25,0,-79.86809192834144,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
189,False,"{'a': 0.7487999999999957, 'e': 0.75427368453308896}",30,0,-187.22353875108993,"{0: 16, 1: 3, 2: 5, 3: 5, 4: 1}",0
190,False,"{'a': 0.7479999999999957, 'e': 0.75314312214006451}",25,0,-68.8916703073499,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
191,False,"{'a': 0.7471999999999956, 'e': 0.75201425431938262}",30,0,-165.33243658031736,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
192,False,"{'a': 0.7463999999999956, 'e': 0.75088707853109027}",20,10,-13.744155676759899,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
193,False,"{'a': 0.7455999999999956, 'e': 0.74976159223904126}",25,0,-114.5647827408187,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
194,False,"{'a': 0.7447999999999956, 'e': 0.74863779291089128}",25,0,-62.1870123107689,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
195,False,"{'a': 0.7439999999999956, 'e': 0.74751567801809105}",25,0,-73.39181814086734,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
196,False,"{'a': 0.7431999999999955, 'e': 0.74639524503588173}",20,5,-106.12627830357629,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 2}",1
197,False,"{'a': 0.7423999999999955, 'e': 0.74527649144328867}",35,0,-204.70792648237045,"{0: 22, 1: 1, 2: 7, 3: 2, 4: 3}",0
198,False,"{'a': 0.7415999999999955, 'e': 0.74415941472311575}",20,2,-105.63593686620689,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 3}",1
199,False,"{'a': 0.7407999999999955, 'e': 0.74304401236193984}",20,0,-49.947620492232794,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
200,False,"{'a': 0.7399999999999954, 'e': 0.74193028185010534}",20,0,-26.70558115122983,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
201,False,"{'a': 0.7391999999999954, 'e': 0.74081822068171788}",25,0,-80.51686839491899,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
202,False,"{'a': 0.7383999999999954, 'e': 0.7397078263546395}",25,3,-46.77308200229572,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
203,False,"{'a': 0.7375999999999954, 'e': 0.7385990963704826}",20,0,-94.67921984406786,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
204,False,"{'a': 0.7367999999999953, 'e': 0.73749202823460402}",25,0,-127.2466607881341,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
205,False,"{'a': 0.7359999999999953, 'e': 0.73638661945610018}",25,0,-88.52350624685327,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
206,False,"{'a': 0.7351999999999953, 'e': 0.7352828675478007}",20,15,-2.605429197089219,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.7343999999999953, 'e': 0.73418077002626336}",25,0,-54.80174416451825,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
